SO2,CO,O3,PM10,PM25,Nox,NO,NO2,THC,NMHC,CH4,WIND_SPEED,TEMP,RAIN,PH_RAIN,Humidity
4.8,0.6,22.3,97,40,30,3.99,26.21,2.36,0.27,2.085,1.63,21.26,0,0,67.73
4.7,0.63,26.4,100,43,30,3.35,26.25,2.39,0.29,2.095,1.53,25.14,0.65,5.95,74.08
4.4,0.52,36.1,78,26,20,1.81,17.96,2.24,0.208,2.028,1.67,27.49,5.23,5.38,72.86
3.8,0.43,31,52,20,15,1.83,13.34,2.1,0.141,1.954,1.76,30.05,1.87,5.57,72.71
3.1,0.41,20.3,42,14,14,2.34,12.1,2.05,0.152,1.901,1.81,29.86,3.87,5.09,75.56
3.8,0.37,22,39,12,14,2.85,11.52,2.03,0.146,1.885,1.91,30.55,6.8,4.94,69.79
3.5,0.34,14.1,35,9,14,3.86,10.57,2.02,0.154,1.866,1.96,30.15,3.93,4.64,73.54
4.5,0.46,30.4,55,22,18,2.73,15.23,2.14,0.176,1.967,1.66,28.7,3.03,4.8,70.67
4.5,0.53,30.2,62,26,21,3.24,17.61,2.17,0.191,1.974,1.64,25.96,3.6,4.48,68.23
4.7,0.64,29.7,92,37,26,3.48,22.29,2.29,0.241,2.045,1.65,23.48,1.6,5.09,67.47
4.4,0.64,23.8,103,40,29,4.31,24.38,2.31,0.268,2.04,1.58,20.94,0,0,66.14
5.5,0.68,23.6,105,43,32,5,26.79,2.34,0.287,2.053,1.47,21.57,0,0,69.84
