SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
5.1,0.57,44.3,29,25.65,3.37,22.28,2.237,0.195,2.04,1.65,27.01,69.31
5,0.44,43.7,35,17.93,1.76,16.17,2.353,0.176,2.18,1.52,26.17,78.2
3.4,0.46,49.6,32,15.56,1.8,13.78,2.129,0.136,1.99,2.27,26.18,72.71
3.8,0.53,45,30,20.34,1.61,18.72,2.239,0.224,2.02,1.73,27.35,66.75
6.7,0.47,43.7,29,24.65,3.49,21.17,2.155,0.186,1.97,1.82,27.8,67.62
3.1,0.43,45.8,38,17.94,2.62,15.32,2.143,0.16,1.98,1.91,25.93,73.62
4.1,0.38,53.8,29,12.09,0.85,11.24,2.184,0.094,2.09,2.22,26.63,74.09
5,0.64,43.7,29,23.85,3.06,20.79,2.252,0.242,2.01,0.96,27.13,70.88
3.8,0.45,48.8,30,16.8,1.55,15.24,2.118,0.142,1.98,2.11,26.02,73.8
4.5,0.44,47.1,28,20.14,1.61,18.52,2.235,0.201,2.03,1.97,26.14,73.2
4.5,0.46,27.6,14,21.07,4.61,16.46,2.069,0.15,1.92,1.51,29.28,74.43
4.3,0.5,27.8,15,19.43,4.07,15.36,2.076,0.194,1.88,0.99,29.57,73.88
7.1,0.35,27,15,20.58,4.31,16.27,2.008,0.153,1.86,1.85,30.02,76.86
3,0.42,30.7,16,15,1.94,13.06,2.049,0.16,1.89,1.77,29.59,72.16
3.3,0.23,34.2,16,7.86,0.94,6.92,2.023,0.057,1.97,2.39,28.66,78.67
4.2,0.31,28.4,20,13.6,2.19,11.41,2.239,0.143,2.1,1.47,28.42,82.69
3.4,0.31,32.6,16,14.12,2.14,11.97,2.081,0.131,1.95,1.9,28.6,77.66
2.9,0.31,31.1,16,12.89,1.69,11.19,1.962,0.112,1.85,2.23,28.72,77.7
2.4,0.3,31.1,22,14.19,2.99,11.19,2.014,0.152,1.86,1.78,28.62,77.18
3,0.34,32.8,19,12.62,2.24,10.38,1.959,0.098,1.86,2.28,28.73,77.16
3.1,0.29,25.1,8,12.98,2.52,10.44,2.032,0.117,1.92,1.78,27.68,84.84
3.7,0.25,22.8,12,11.19,2.5,8.68,2.133,0.111,2.02,1.79,28.25,84.77
2.6,0.29,21.2,12,17.32,5.12,12.2,2.009,0.18,1.83,1.64,27.35,84.45
2.6,0.4,22.7,7,14.52,2.64,11.87,2.041,0.154,1.89,1.69,28.83,81.91
7.6,0.37,19.6,8,22.59,7.25,15.34,1.973,0.143,1.83,1.98,28.93,88.22
2.2,0.17,28.8,10,5.34,0.81,4.53,1.911,0.031,1.88,2.54,27.96,84.1
3.3,0.36,22.6,9,16.68,4.04,12.65,1.985,0.135,1.85,1.98,28.18,84.48
2.9,0.35,21.3,9,15.96,3.32,12.64,1.981,0.136,1.85,2.1,27.92,84.66
3.9,0.45,20.3,8,18.89,4.85,14.04,2.052,0.182,1.87,1.03,27.95,83.14
3.9,0.5,18.5,6,23.66,7.73,15.93,2.06,0.165,1.9,1.29,28.14,83.21
4.1,0.44,19.3,8,18.34,4.61,13.73,1.99,0.179,1.81,0.99,29.12,77.67
6,0.27,19,9,18.23,4.85,13.39,1.919,0.13,1.79,2.02,30.08,80.73
2,0.29,21.2,11,13.66,2.7,10.95,1.903,0.117,1.79,1.97,29.06,79.47
4.1,0.35,19.5,8,19.36,5.38,13.98,1.959,0.127,1.83,1.5,29.58,76.51
3.2,0.23,25.2,11,11.87,2.04,9.82,2.008,0.116,1.89,1.71,28.72,80.02
2.9,0.32,22.4,11,14.44,3.64,10.8,1.893,0.119,1.77,2.1,29.32,79.31
2.9,0.18,23.5,12,7.71,1.21,6.5,1.964,0.064,1.9,2.31,28.92,80.03
2.2,0.24,23.2,14,13.59,3.59,10,1.922,0.139,1.78,1.73,28.56,79.29
5.2,0.26,19.8,15,13.88,2.72,11.16,2.168,0.144,2.02,1.59,29.03,80.68
2.7,0.34,22.8,10,13.35,2.13,11.22,1.984,0.137,1.85,1.78,29.78,74.37
3.1,0.38,25.2,12,14.53,2.45,12.08,2.04,0.136,1.9,1.84,29.95,73.85
2.9,0.19,32.7,13,6.85,1.04,5.81,1.986,0.036,1.95,2.57,29.19,78.6
5.2,0.3,26.1,8,16.79,2.95,13.85,1.969,0.12,1.85,1.8,29.31,77.39
