SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.4,0.38,424.55,37.9,14,21.43,3.42,18.02,1.875,0.104,1.771,1.38,22.88,74.56
2.7,0.33,423.15,25.2,14,19.66,5.42,14.24,1.828,0.109,1.718,1.37,28.09,72.05
3.1,0.38,428.91,22.4,13,21.62,5.5,16.11,1.921,0.141,1.781,1.28,29.53,71.91
2.7,0.3,422.91,17.9,12,18.78,6.48,12.3,1.825,0.107,1.719,1.56,30.33,65.98
2.9,0.35,426.67,29.5,13,19.73,4.78,14.95,1.9,0.114,1.786,1.39,28.23,73.2
5.2,0.43,437.95,34,21,23.85,4.36,19.49,1.947,0.143,1.804,1.27,27.66,68.81
2.7,0.45,437.55,35.5,20,23.77,4.75,19.02,1.956,0.134,1.822,1.28,23.06,67.59
2.5,0.49,440.49,29,18,27.83,6.83,21,1.991,0.147,1.843,1.36,20.13,68.08
2.1,0.56,438.93,24.9,20,33.27,9.86,23.41,2.058,0.166,1.892,1.1,15.23,77.23
2.3,0.44,433.89,25.1,12,26.86,7.22,19.65,1.957,0.123,1.834,1.44,16.5,76.37
2.6,0.41,427.22,26.2,16,25.06,5.99,19.07,1.943,0.114,1.83,1.45,17.35,74.57
2.2,0.4,419.03,23.8,12,25.11,6.55,18.56,1.937,0.127,1.81,1.39,21.91,81.88
2.4,0.35,420.16,28.4,14,21.93,5.71,16.22,1.896,0.102,1.794,1.55,25.12,75.84
4,0.43,426.7,29.5,19,24.85,5.73,19.12,1.939,0.146,1.793,1.33,29.24,70.62
3.7,0.38,425.1,23.1,16,22.53,6.14,16.38,1.895,0.136,1.759,1.44,31.07,65.55
3.5,0.38,430.89,21.3,13,22.54,6.32,16.22,1.901,0.147,1.754,1.25,30.5,66.49
3.7,0.51,442.75,21.1,15,30.72,9.74,20.97,2.031,0.195,1.836,1.1,28.37,77.53
3.4,0.43,438.49,31,17,23.31,4.76,18.55,1.988,0.138,1.851,1.25,25.73,75.8
3.3,0.62,444.15,30.8,25,33.01,7.61,25.4,2.154,0.215,1.939,1.11,22.59,70.59
2.8,0.56,435.34,32,22,32.39,7.26,25.13,2.093,0.168,1.925,1.17,18.32,75.61
2.3,0.48,430.67,30.1,19,27,6.51,20.49,2.011,0.132,1.879,1.33,17.09,69.97
2.5,0.47,428.54,26.2,17,26.58,6.36,20.22,2.005,0.137,1.868,1.39,18.21,75.84
2.2,0.43,425.52,26.6,16,24.67,5.34,19.33,1.983,0.127,1.856,1.41,20.03,72.99
3.3,0.44,426.84,23.4,13,27.94,7.22,20.71,2.008,0.146,1.863,1.32,22.4,76.7
2.6,0.34,417.75,22.8,11,20.59,6.63,13.95,1.841,0.11,1.731,1.36,26.71,77.88
2.4,0.39,416.74,23.4,12,20.62,6.1,14.51,1.901,0.128,1.773,1.47,27.7,76.67
2.8,0.37,418.88,25.9,13,21.06,5.36,15.71,1.885,0.137,1.747,1.26,29.98,67.35
2.9,0.41,428.22,23.3,15,23.19,6.37,16.82,1.89,0.159,1.731,1.23,30.29,68.99
3.2,0.51,436.46,20.4,13,29.52,10.1,19.42,1.967,0.202,1.766,1.11,29.2,72.86
3.7,0.51,432.76,26.5,18,27.04,6.68,20.36,2.002,0.171,1.831,1.25,26.52,75.74
3.7,0.69,439.33,29.1,29,35.22,9.15,26.07,2.158,0.223,1.935,1.17,23.21,77.97
2.6,0.68,439.77,25.6,23,42.96,15.38,27.58,2.17,0.23,1.94,1.11,17.29,75.79
2.1,0.53,430.17,26.6,20,29.57,7.54,22.02,2.056,0.147,1.91,1.14,15.39,73.71
2.4,0.6,432.26,19.4,19,35.79,12.48,23.31,2.081,0.193,1.889,1.08,16.05,79.86
2.9,0.49,424.75,23.2,18,26.95,6.89,20.06,1.98,0.141,1.84,1.39,18.56,76.12
2.8,0.47,427.85,25.6,14,23.62,5.62,18.01,1.955,0.14,1.816,1.46,23.1,75.69
2.8,0.4,410.91,33.4,17,20.66,4.06,16.6,1.891,0.116,1.775,1.51,24.97,74.04
3,0.45,419.72,32.6,15,23.3,5.3,18,1.95,0.15,1.8,1.43,27.22,71.83
