序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
1,臺北市,1998/11,松山,3.3,0.68,20.8,42.0,-,49,17.17,31.89,-,-,-,22.81,-,-,-,-
2,臺北市,1998/11,古亭,2.6,0.87,19.6,42.0,24,45,16.63,28.56,2.41,0.36,2.06,22.01,-,-,-,-
3,臺北市,1998/11,中山,3.7,-,20.4,45.0,-,48,15.67,32.1,2.49,0.33,2.15,23.06,-,-,-,-
4,臺北市,1998/11,大同,4.7,3.54,-,-,-,183,135.6,47.47,4.26,1.86,2.4,23.55,-,-,-,-
5,臺北市,1998/11,萬華,2.9,0.92,20.6,42.0,-,33,7.09,26.14,-,-,-,22.9,-,-,-,-
6,臺北市,1998/11,陽明,1.2,0.2,44.1,16.0,-,2,0.4,1.93,-,-,-,16.52,-,-,-,-
7,臺北市,1998/11,士林,1.9,0.57,28.5,35.0,-,24,6.79,17.71,-,-,-,23.14,-,-,-,-
8,臺北市,1998/10,松山,3.1,0.71,15.0,34.0,-,49,18.31,30.87,-,-,-,25.2,-,-,-,-
9,臺北市,1998/10,古亭,2.5,0.94,14.5,36.0,19,44,17.92,26.55,2.38,0.38,2.0,24.39,-,-,-,-
10,臺北市,1998/10,中山,2.4,1.08,17.3,35.0,-,48,19.19,28.54,2.51,0.32,2.19,25.43,-,-,-,-
11,臺北市,1998/10,大同,6.0,3.62,-,-,-,162,117.26,41.9,4.18,1.73,2.44,25.82,-,-,-,-
