序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
1,高雄市,1998/11,左營,10.0,0.93,38.0,144.0,-,41,8.63,32.41,2.97,0.51,2.46,24.58,-,-,-,-
2,高雄市,1998/11,楠梓,6.3,0.72,33.8,119.0,-,42,9.41,32.46,2.94,0.48,2.46,24.45,-,-,-,-
3,高雄市,1998/11,前金,13.8,1.02,34.9,129.0,-,44,10.1,33.93,-,-,-,24.6,-,-,-,-
4,高雄市,1998/11,前鎮,16.0,-,-,142.0,-,65,19.03,46.04,3.17,0.66,2.51,25.43,-,-,-,-
5,高雄市,1998/11,復興,17.1,1.76,-,160.0,-,73,25.81,47.48,3.41,1.11,2.29,25.2,-,-,-,-
6,高雄市,1998/11,小港,21.2,1.08,33.3,155.0,-,73,23.93,48.81,3.16,0.72,2.44,25.75,-,-,-,-
7,高雄市,1998/11,鳳山,17.2,1.22,28.3,157.0,95,64,18.86,44.81,-,-,-,25.37,-,-,-,-
8,高雄市,1998/11,林園,16.1,0.78,43.9,138.0,96,36,7.25,28.98,2.88,0.52,2.36,25.3,-,-,-,-
9,高雄市,1998/11,大寮,15.4,1.03,38.0,166.0,-,45,6.8,38.03,2.99,0.6,2.39,25.67,-,-,-,-
10,高雄市,1998/11,仁武,16.4,0.85,33.4,140.0,-,56,15.16,40.8,2.77,0.59,2.18,24.84,-,-,-,-
11,高雄市,1998/11,橋頭,7.8,0.79,31.3,122.0,-,39,8.85,30.45,2.8,0.28,2.51,23.96,-,-,-,-
12,高雄市,1998/11,美濃,3.6,0.72,41.1,130.0,-,19,1.23,17.86,-,-,-,24.79,-,-,-,-
13,高雄市,1998/10,左營,7.9,0.83,39.1,93.0,-,31,6.65,24.25,2.61,0.36,2.24,26.91,-,-,-,-
14,高雄市,1998/10,楠梓,5.3,0.6,32.8,64.0,-,33,7.66,25.29,2.71,0.37,2.35,26.73,-,-,-,-
15,高雄市,1998/10,前金,10.4,0.9,36.1,84.0,-,34,8.08,25.72,-,-,-,26.95,-,-,-,-
16,高雄市,1998/10,前鎮,11.9,-,-,92.0,-,44,12.53,31.66,2.76,0.5,2.27,27.52,-,-,-,-
17,高雄市,1998/10,復興,12.8,1.37,-,97.0,-,54,18.72,35.63,3.11,0.85,2.26,27.24,-,-,-,-
18,高雄市,1998/10,小港,12.5,0.81,35.4,97.0,-,44,12.7,31.52,2.65,0.39,2.26,27.57,-,-,-,-
19,高雄市,1998/10,鳳山,10.0,0.99,30.4,82.0,-,39,8.8,30.26,-,-,-,27.39,-,-,-,-
20,高雄市,1998/10,林園,9.0,0.56,41.7,83.0,69,20,4.2,15.96,2.59,0.35,2.24,26.71,-,-,-,-
21,高雄市,1998/10,大寮,9.8,0.85,35.1,95.0,-,32,5.02,27.44,2.83,0.4,2.42,27.5,-,-,-,-
22,高雄市,1998/10,仁武,9.7,0.69,37.3,88.0,-,39,10.23,28.37,2.49,0.36,2.12,26.94,-,-,-,-
23,高雄市,1998/10,橋頭,5.5,0.66,31.9,69.0,-,28,5.27,22.87,2.63,0.2,2.43,26.12,-,-,-,-
24,高雄市,1998/10,美濃,2.5,0.54,34.6,74.0,-,12,1.05,11.35,-,-,-,26.46,-,-,-,-
25,高雄市,1998/09,左營,6.7,0.8,41.8,75.0,-,29,6.29,22.37,2.49,0.31,2.17,28.6,-,-,-,-
26,高雄市,1998/09,楠梓,5.7,0.55,37.0,55.0,-,27,4.36,22.99,2.65,0.33,2.32,28.24,-,-,-,-
27,高雄市,1998/09,前金,9.1,0.91,38.4,78.0,-,30,5.76,23.85,-,-,-,28.4,-,-,-,-
28,高雄市,1998/09,前鎮,8.3,-,-,66.0,-,36,8.76,27.36,2.54,0.33,2.2,28.98,-,-,-,-
29,高雄市,1998/09,復興,10.2,1.3,-,89.0,-,45,13.84,30.69,2.9,0.75,2.15,28.49,-,-,-,-
30,高雄市,1998/09,小港,10.4,0.74,38.3,75.0,-,35,8.84,26.53,2.5,0.29,2.21,28.66,-,-,-,-
31,高雄市,1998/09,鳳山,8.8,0.98,33.9,68.0,42,31,5.18,25.7,-,-,-,28.92,-,-,-,-
