序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","平均風速<br />WS_HR<br />(m/sec)","平均風向<br />WD_HR<br />(degress)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
1,臺北市,2008/11,松山,4.1,0.52,401.35,20.2,43,27,33.21,9.19,24.02,2.104,0.214,1.89,-,-,21.69,-,-,73.02,-
2,臺北市,2008/11,古亭,3.7,0.6,-,22.3,46,22,34.79,10.77,24.02,2.136,0.202,1.934,-,-,-,-,-,-,-
3,臺北市,2008/11,中山,4.3,0.7,-,19.7,47,34,44.69,15.06,29.63,2.232,0.278,1.954,-,-,21.49,-,-,72.32,-
4,臺北市,2008/11,萬華,3.6,0.65,-,22.3,41,26,32.23,8.0,24.23,-,-,-,-,-,21.79,-,-,74.73,-
5,臺北市,2008/11,陽明,2.2,0.2,384.9,43.7,20,13,3.73,1.11,2.6,-,-,-,-,-,15.27,-,-,91.19,-
6,臺北市,2008/11,士林,3.2,0.45,-,32.1,46,22,21.95,5.46,16.49,-,-,-,-,-,21.8,-,-,70.99,-
7,臺北市,2008/10,松山,4.7,0.57,398.38,23.3,44,29,29.63,7.73,21.89,2.188,0.254,1.934,-,-,-,-,-,-,-
8,臺北市,2008/10,古亭,3.8,0.59,-,27.1,49,27,29.87,7.85,22.02,2.114,0.188,1.926,-,-,-,-,-,-,-
9,臺北市,2008/10,中山,4.6,0.7,-,22.7,56,39,39.05,11.51,27.53,2.226,0.272,1.954,-,-,25.78,-,-,76.32,-
10,臺北市,2008/10,萬華,3.4,0.63,-,27.6,46,29,26.76,5.46,21.3,-,-,-,-,-,26.15,-,-,76.42,-
11,臺北市,2008/10,陽明,2.0,0.2,377.2,46.7,21,17,3.97,1.0,2.95,-,-,-,-,-,19.84,-,-,88.31,-
12,臺北市,2008/10,士林,3.4,0.39,-,35.6,48,25,16.24,3.2,13.05,-,-,-,-,-,26.11,-,-,73.09,-
13,臺北市,2008/09,松山,3.8,0.55,389.89,15.5,37,29,27.87,9.44,18.43,2.143,0.241,1.902,-,-,-,-,-,-,-
14,臺北市,2008/09,古亭,3.2,0.54,-,20.6,41,25,26.24,8.52,17.73,2.144,0.193,1.952,-,-,-,-,-,-,-
15,臺北市,2008/09,中山,3.6,0.67,-,17.5,46,34,37.11,13.45,23.66,2.236,0.272,1.963,-,-,27.77,-,-,74.82,-
16,臺北市,2008/09,萬華,2.6,0.57,-,20.8,36,26,23.66,6.23,17.43,-,-,-,-,-,28.2,-,-,75.83,-
17,臺北市,2008/09,陽明,2.4,0.16,385.06,34.2,19,16,4.52,1.49,3.01,-,-,-,-,-,21.9,-,-,79.28,-
18,臺北市,2008/09,士林,2.5,0.35,-,28.7,41,21,16.1,3.34,12.76,-,-,-,-,-,28.01,-,-,73.97,-
19,臺北市,2008/08,松山,4.9,0.58,399.5,19.3,42,29,28.31,8.69,19.62,2.131,0.269,1.862,-,-,-,-,-,-,-
20,臺北市,2008/08,古亭,3.9,0.57,-,22.6,48,27,27.29,8.76,18.53,2.146,0.287,1.859,-,-,-,-,-,-,-
21,臺北市,2008/08,中山,4.9,0.71,-,18.8,46,33,39.76,14.32,25.45,2.216,0.268,1.948,-,-,29.66,-,-,68.34,-
22,臺北市,2008/08,萬華,3.6,0.57,-,24.5,40,28,23.32,5.31,18.01,-,-,-,-,-,30.1,-,-,69.45,-
23,臺北市,2008/08,陽明,2.8,0.16,386.58,31.7,22,18,6.35,1.65,4.7,-,-,-,-,-,23.15,-,-,77.21,-
24,臺北市,2008/08,士林,4.0,0.39,-,27.1,44,22,20.03,4.18,15.84,-,-,-,-,-,29.93,-,-,68.34,-
25,臺北市,2008/07,松山,5.9,0.6,396.1,20.0,41,26,33.81,12.6,21.15,2.375,0.471,1.903,-,-,-,-,-,-,-
26,臺北市,2008/07,古亭,3.5,0.61,-,21.9,43,23,30.52,10.81,19.7,2.099,0.249,1.85,-,-,-,-,-,-,-
27,臺北市,2008/07,中山,4.7,0.76,-,17.8,43,30,42.8,17.51,25.26,2.241,0.293,1.948,-,-,29.46,-,-,70.62,-
28,臺北市,2008/07,萬華,4.2,0.6,-,24.4,34,23,26.41,7.56,18.85,-,-,-,-,-,29.94,-,-,72.22,-
29,臺北市,2008/07,陽明,2.8,0.16,386.76,30.6,18,13,6.14,1.44,4.69,-,-,-,-,-,23.1,-,-,80.05,-
30,臺北市,2008/07,士林,4.1,0.43,-,26.4,42,17,22.89,6.03,16.83,-,-,-,-,-,29.65,-,-,71.22,-
31,臺北市,2008/06,松山,5.0,0.65,406.44,19.9,42,27,37.99,10.93,27.07,2.22,0.29,1.93,-,-,27.75,-,-,74.5,-
32,臺北市,2008/06,古亭,4.4,0.76,-,22.8,46,28,39.3,12.91,26.4,2.221,0.305,1.916,-,-,27.57,-,-,78.79,-
33,臺北市,2008/06,中山,5.1,0.94,-,19.8,48,33,53.11,20.28,32.83,2.373,0.363,2.01,-,-,27.42,-,-,76.56,-
34,臺北市,2008/06,萬華,4.2,0.78,-,25.6,38,25,32.33,7.92,24.41,-,-,-,-,-,27.98,-,-,77.15,-
35,臺北市,2008/06,陽明,2.7,0.19,396.81,37.2,19,14,6.21,1.32,4.89,-,-,-,-,-,21.87,-,-,81.2,-
36,臺北市,2008/06,士林,3.9,0.58,-,23.3,48,20,29.94,7.46,22.48,-,-,-,-,-,27.58,-,-,77.32,-
37,臺北市,2008/05,松山,4.4,0.65,402.29,28.7,49,30,34.87,9.33,25.54,2.218,0.252,1.966,-,-,25.03,-,-,70.54,-
38,臺北市,2008/05,古亭,3.7,0.69,-,30.7,53,31,35.65,10.13,25.52,2.164,0.247,1.917,-,-,25.07,-,-,73.89,-
39,臺北市,2008/05,中山,4.5,0.86,-,27.6,58,36,47.32,15.09,32.22,2.316,0.327,1.989,-,-,25.72,-,-,68.93,-
40,臺北市,2008/05,萬華,3.7,0.71,-,34.7,47,30,29.83,6.25,23.58,-,-,-,-,-,25.28,-,-,72.13,-
41,臺北市,2008/05,陽明,2.6,0.24,391.0,50.4,27,18,5.12,1.23,3.88,-,-,-,-,-,18.49,-,-,80.38,-
42,臺北市,2008/05,士林,3.7,0.53,-,36.9,56,24,25.45,6.35,19.1,-,-,-,-,-,25.42,-,-,69.63,-
43,臺北市,2008/04,松山,4.5,0.76,406.26,27.9,53,35,43.61,11.98,31.63,2.386,0.308,2.079,-,-,22.65,-,-,73.88,-
44,臺北市,2008/04,古亭,3.6,0.79,-,30.2,57,38,39.89,11.18,28.7,2.219,0.271,1.947,-,-,22.74,-,-,76.34,-
45,臺北市,2008/04,中山,4.8,0.98,-,27.4,65,38,52.46,17.24,35.22,2.442,0.361,2.082,-,-,23.61,-,-,70.71,-
46,臺北市,2008/04,萬華,4.1,0.84,-,31.3,52,37,34.75,7.96,26.78,-,-,-,-,-,22.87,-,-,76.51,-
47,臺北市,2008/04,陽明,2.6,0.29,394.22,48.9,22,16,5.44,1.18,4.24,-,-,-,-,-,16.49,-,-,85.26,-
48,臺北市,2008/04,士林,3.8,0.58,-,37.5,53,29,27.0,6.0,21.01,-,-,-,-,-,23.15,-,-,72.04,-
49,臺北市,2008/03,松山,5.3,0.69,407.35,26.8,75,42,42.13,9.09,33.04,2.321,0.272,2.048,-,-,19.37,-,-,68.38,-
50,臺北市,2008/03,古亭,4.4,0.7,-,31.6,77,45,38.62,9.85,28.77,2.174,0.24,1.934,-,-,19.56,-,-,68.7,-
51,臺北市,2008/03,中山,5.0,0.87,-,26.7,81,46,51.57,15.17,36.4,2.414,0.345,2.069,-,-,19.4,-,-,66.99,-
52,臺北市,2008/03,萬華,5.6,0.76,-,33.4,74,45,35.19,6.87,28.32,-,-,-,-,-,19.56,-,-,70.32,-
53,臺北市,2008/03,陽明,3.1,0.3,395.66,57.6,39,23,5.17,1.17,3.99,-,-,-,-,-,12.98,-,-,80.78,-
54,臺北市,2008/03,士林,3.7,0.54,-,41.1,73,39,24.95,4.23,20.72,-,-,-,-,-,19.42,-,-,67.18,-
55,臺北市,2008/02,松山,3.9,0.67,396.78,21.3,50,34,38.72,10.46,28.26,2.24,0.233,2.008,-,-,14.35,-,-,79.01,-
56,臺北市,2008/02,古亭,3.7,0.69,-,21.9,55,36,38.6,11.84,26.76,2.142,0.218,1.925,-,-,14.31,-,-,80.0,-
57,臺北市,2008/02,中山,4.4,0.84,-,17.9,59,38,50.35,17.95,32.4,2.413,0.32,2.093,-,-,13.88,-,-,78.12,-
58,臺北市,2008/02,萬華,4.1,0.76,-,22.5,52,38,36.15,9.21,26.94,-,-,-,-,-,14.11,-,-,82.49,-
