序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","苯<br />BENZENE<br />(ppb)","甲苯<br />TOLUENE<br />(ppb)","乙苯<br />ETHYLBENZENE<br />(ppb)","間、對二甲苯<br />M_P_XYLENES<br />(ppb)","鄰二甲苯<br />O_XYLENE<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨強度<br />RAIN_INT<br />(㎜)","降雨量<br />RAINFALL<br />(mm)","酸雨<br />PH_RAIN<br />(pH)","相對濕度<br />RH<br />(percent)","導電度<br />RAIN_COND<br />(μmho/cm)","紫外線指數<br />UVB<br />(UVI)","小時風向值<br />WD_HR<br />(degrees)"
1,臺北市,2018/11,陽明,1.5,0.17,416.58,41.3,12,6,2.32,0.44,1.86,-,-,-,-,-,-,-,-,-,-,-,16.32,-,1.14,-,4.44,96.92,61.45,-,-
2,臺北市,2018/11,大同,2.7,1.0,-,-,36,13,61.26,31.29,29.97,-,2.273,0.297,1.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,臺北市,2018/11,萬華,2.0,0.44,-,24.6,26,12,26.7,5.49,21.21,-,-,-,-,-,-,-,-,-,2.15,1.82,23.19,-,-,-,-,75.29,-,-,-
4,臺北市,2018/11,中山,2.4,0.54,-,23.5,30,13,30.91,7.95,22.96,-,1.997,0.157,1.84,-,-,-,-,-,2.01,1.63,22.81,-,-,-,-,81.56,-,-,-
5,臺北市,2018/11,士林,1.9,0.3,-,32.4,25,12,13.41,2.71,10.71,-,-,-,-,-,-,-,-,-,2.12,1.85,23.58,-,-,-,-,75.69,-,-,-
6,臺北市,2018/11,松山,2.3,0.39,428.07,25.5,27,12,24.56,5.54,19.02,-,1.905,0.124,1.78,-,-,-,-,-,1.74,1.35,22.12,-,-,-,-,78.93,-,-,-
7,臺北市,2018/11,古亭,1.9,0.39,-,29.1,30,16,21.08,4.23,16.85,-,2.025,0.112,1.91,-,-,-,-,-,2.23,1.95,22.8,-,-,-,-,76.92,-,-,-
8,臺北市,2018/10,大同,2.8,1.08,-,-,49,14,62.34,29.18,33.17,-,2.291,0.311,1.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,臺北市,2018/10,中山,2.0,0.52,-,33.0,32,14,27.82,4.98,22.85,-,2.009,0.147,1.86,-,-,-,-,-,1.94,1.55,23.55,-,-,-,-,76.23,-,-,-
10,臺北市,2018/10,士林,1.7,0.29,-,45.9,33,14,12.45,2.13,10.33,-,-,-,-,-,-,-,-,-,2.1,1.8,24.16,-,-,-,-,72.48,-,-,-
11,臺北市,2018/10,萬華,2.1,0.43,-,35.6,33,14,24.74,3.59,21.15,-,-,-,-,-,-,-,-,-,2.1,1.77,24.02,-,-,-,-,71.41,-,-,-
12,臺北市,2018/10,松山,2.4,0.38,424.55,37.9,32,14,21.43,3.42,18.02,-,1.875,0.104,1.77,-,-,-,-,-,1.79,1.38,22.88,-,-,-,-,74.56,-,-,-
13,臺北市,2018/10,陽明,1.5,0.17,415.32,54.6,14,8,1.72,0.3,1.39,-,-,-,-,-,-,-,-,-,2.9,-,16.81,-,2.22,-,4.33,94.14,79.84,-,-
14,臺北市,2018/10,古亭,1.9,0.38,-,41.0,26,14,19.3,3.2,16.1,-,2.014,0.099,1.92,-,-,-,-,-,2.24,1.95,23.37,-,-,-,-,72.89,-,-,-
15,臺北市,2018/09,松山,2.7,0.33,423.15,25.2,28,14,19.66,5.42,14.24,-,1.828,0.109,1.72,-,-,-,-,-,1.85,1.37,28.09,-,-,-,-,72.05,-,-,-
16,臺北市,2018/09,士林,2.1,0.26,-,29.1,28,15,12.4,2.41,10.0,-,-,-,-,-,-,-,-,-,2.24,1.91,28.91,-,-,-,-,73.8,-,-,-
17,臺北市,2018/09,陽明,1.7,0.13,412.11,35.4,13,9,2.64,0.54,2.08,-,-,-,-,-,-,-,-,-,3.3,-,21.55,-,4.58,-,4.51,93.85,52.14,-,-
18,臺北市,2018/09,萬華,2.1,0.4,-,22.3,31,15,22.75,5.13,17.62,-,-,-,-,-,-,-,-,-,1.81,1.44,28.98,-,-,-,-,70.72,-,-,-
19,臺北市,2018/09,大同,3.0,1.15,-,-,43,14,59.36,33.94,25.43,-,2.28,0.341,1.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,臺北市,2018/09,中山,2.3,0.46,-,21.7,28,15,24.33,6.53,17.8,-,1.96,0.15,1.81,-,-,-,-,-,2.0,1.53,28.59,-,-,-,-,74.43,-,-,-
21,臺北市,2018/09,古亭,1.9,0.35,-,25.1,25,16,18.78,4.82,13.96,-,1.966,0.11,1.86,-,-,-,-,-,2.11,2.03,28.3,-,-,-,-,68.06,-,-,-
22,臺北市,2018/08,松山,3.1,0.38,428.91,22.4,26,13,21.62,5.5,16.11,-,1.921,0.141,1.78,-,-,-,-,-,1.74,1.28,29.53,-,-,-,-,71.91,-,-,-
23,臺北市,2018/08,大同,3.2,1.28,-,-,43,14,57.67,32.31,25.36,-,2.382,0.371,2.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,2018/08,萬華,2.5,0.45,-,21.2,28,15,22.55,4.75,17.81,-,-,-,-,-,-,-,-,-,1.59,1.19,30.09,-,-,-,-,71.62,-,-,-
25,臺北市,2018/08,古亭,2.2,0.39,-,24.1,26,18,20.69,4.98,15.71,-,2.027,0.144,1.88,-,-,-,-,-,1.79,1.43,29.55,-,-,-,-,68.8,-,-,-
26,臺北市,2018/08,陽明,1.8,0.13,413.75,32.3,13,9,3.21,0.56,2.62,-,-,-,-,-,-,-,-,-,2.26,-,22.66,-,3.29,-,4.65,94.06,26.41,-,-
27,臺北市,2018/08,士林,2.4,0.3,-,26.4,26,15,14.75,2.68,12.08,-,-,-,-,-,-,-,-,-,1.85,1.52,29.96,-,-,-,-,76.61,-,-,-
28,臺北市,2018/08,中山,2.8,0.56,-,18.5,28,13,28.06,7.86,20.2,-,2.052,0.183,1.87,-,-,-,-,-,1.71,1.23,29.89,-,-,-,-,74.64,-,-,-
29,臺北市,2018/07,松山,2.7,0.3,422.91,17.9,25,12,18.78,6.48,12.3,-,1.825,0.107,1.72,-,-,-,-,-,2.07,1.56,30.33,-,-,-,-,65.98,-,-,-
30,臺北市,2018/07,萬華,2.1,0.35,-,15.5,26,12,18.91,5.6,13.31,-,-,-,-,-,-,-,-,-,2.07,1.59,30.96,-,-,-,-,66.08,-,-,-
31,臺北市,2018/07,古亭,2.2,0.28,-,19.1,22,9,16.37,5.07,11.3,-,1.884,0.097,1.79,-,-,-,-,-,2.44,2.03,30.48,-,-,-,-,62.55,-,-,-
32,臺北市,2018/07,中山,2.6,0.46,-,13.6,26,13,24.56,9.22,15.34,-,1.961,0.155,1.81,-,-,-,-,-,2.28,1.75,30.72,-,-,-,-,68.93,-,-,-
33,臺北市,2018/07,大同,3.1,1.1,-,-,41,13,51.72,32.38,19.35,-,2.231,0.323,1.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,臺北市,2018/07,陽明,1.8,0.09,412.68,24.4,12,8,2.93,0.57,2.31,-,-,-,-,-,-,-,-,-,3.0,-,22.98,-,2.08,-,4.47,90.58,38.07,-,-
35,臺北市,2018/07,士林,2.2,0.21,-,18.7,24,12,11.6,2.68,8.92,-,-,-,-,-,-,-,-,-,2.73,2.42,30.75,-,-,-,-,72.68,-,-,-
36,臺北市,2018/06,松山,2.9,0.35,426.67,29.5,29,13,19.73,4.78,14.95,-,1.9,0.114,1.79,-,-,-,-,-,1.84,1.39,28.23,-,-,-,-,73.2,-,-,-
37,臺北市,2018/06,萬華,2.4,0.4,-,26.9,28,14,21.52,4.53,16.99,-,-,-,-,-,-,-,-,-,1.97,1.59,29.0,-,-,-,-,71.66,-,-,-
38,臺北市,2018/06,中山,2.9,0.49,-,23.9,30,12,25.71,6.73,18.98,-,2.003,0.154,1.85,-,-,-,-,-,2.02,1.55,28.88,-,-,-,-,74.04,-,-,-
39,臺北市,2018/06,士林,2.7,0.29,-,29.5,26,15,13.79,2.41,11.38,-,-,-,-,-,-,-,-,-,2.14,1.77,29.3,-,-,-,-,74.98,-,-,-
40,臺北市,2018/06,陽明,1.8,0.14,417.25,38.0,13,9,3.32,0.67,2.63,-,-,-,-,-,-,-,-,-,2.22,-,21.78,-,1.33,-,4.6,91.92,34.78,-,-
41,臺北市,2018/06,古亭,2.3,0.36,-,30.3,29,11,19.33,4.48,14.85,-,1.952,0.109,1.84,-,-,-,-,-,2.05,1.73,28.77,-,-,-,-,68.63,-,-,-
42,臺北市,2018/06,大同,3.4,1.18,-,-,44,15,57.62,30.85,26.77,-,2.294,0.345,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,臺北市,2018/05,萬華,3.1,0.47,-,31.1,41,20,23.84,3.56,20.28,-,-,-,-,-,-,-,-,-,1.81,1.38,28.5,-,-,-,-,68.14,-,-,-
44,臺北市,2018/05,松山,5.2,0.43,437.95,34.0,41,21,23.85,4.36,19.49,-,1.947,0.143,1.8,-,-,-,-,-,1.69,1.27,27.66,-,-,-,-,68.81,-,-,-
45,臺北市,2018/05,陽明,1.8,0.19,423.12,44.7,20,16,4.64,0.6,4.02,-,-,-,-,-,-,-,-,-,1.88,-,21.09,-,1.7,-,4.47,89.63,49.48,-,-
46,臺北市,2018/05,大同,4.1,1.08,-,-,57,21,54.08,24.03,30.06,-,2.339,0.328,2.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,臺北市,2018/05,古亭,3.0,0.43,-,35.6,43,17,21.9,3.71,18.19,-,2.016,0.129,1.89,-,-,-,-,-,1.94,1.6,28.21,-,-,-,-,65.74,-,-,-
48,臺北市,2018/05,中山,3.6,0.56,-,27.8,43,22,28.96,6.17,22.79,-,2.088,0.176,1.91,-,-,-,-,-,1.93,1.47,28.31,-,-,-,-,70.46,-,-,-
49,臺北市,2018/05,士林,3.1,0.34,-,31.6,37,20,15.2,2.26,12.94,-,-,-,-,-,-,-,-,-,2.0,1.73,28.41,-,-,-,-,73.93,-,-,-
50,臺北市,2018/04,士林,2.3,0.38,-,38.4,48,22,15.24,2.6,12.64,-,-,-,-,-,-,-,-,-,1.91,1.61,24.0,-,-,-,-,71.58,-,-,-
51,臺北市,2018/04,古亭,2.2,0.45,-,39.4,49,17,21.4,4.04,17.36,-,2.019,0.118,1.9,-,-,-,-,-,1.94,1.64,23.52,-,-,-,-,65.7,-,-,-
52,臺北市,2018/04,陽明,2.1,0.22,423.19,51.4,28,17,3.68,0.65,3.0,-,-,-,-,-,-,-,-,-,2.02,-,16.66,-,1.77,-,5.03,89.09,55.15,-,-
53,臺北市,2018/04,中山,2.4,0.59,-,32.7,55,22,29.95,6.44,23.51,-,2.105,0.165,1.94,-,-,-,-,-,1.89,1.46,23.77,-,-,-,-,69.84,-,-,-
54,臺北市,2018/04,大同,3.0,1.15,-,-,68,23,63.67,30.51,33.16,-,2.37,0.333,2.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,臺北市,2018/04,松山,2.7,0.45,437.55,35.5,49,20,23.77,4.75,19.02,-,1.956,0.134,1.82,-,-,-,-,-,1.69,1.28,23.06,-,-,-,-,67.59,-,-,-
56,臺北市,2018/04,萬華,2.5,0.51,-,35.6,49,21,25.54,4.4,21.14,-,-,-,-,-,-,-,-,-,1.86,1.51,24.05,-,-,-,-,66.19,-,-,-
57,臺北市,2018/03,萬華,2.4,0.59,-,27.3,41,18,31.71,7.27,24.44,-,-,-,-,-,-,-,-,-,1.92,1.52,21.14,-,-,-,-,66.56,-,-,-
58,臺北市,2018/03,松山,2.5,0.49,440.49,29.0,39,18,27.83,6.83,21.0,-,1.991,0.147,1.84,-,-,-,-,-,1.79,1.36,20.13,-,-,-,-,68.08,-,-,-
59,臺北市,2018/03,陽明,1.9,0.2,419.41,47.1,18,11,2.83,0.43,2.43,-,-,-,-,-,-,-,-,-,2.88,-,13.93,-,0.89,-,4.43,89.37,44.02,-,-
60,臺北市,2018/03,古亭,2.1,0.51,-,31.9,38,17,26.63,6.13,20.5,-,2.087,0.152,1.94,-,-,-,-,-,2.04,1.72,20.7,-,-,-,-,66.74,-,-,-
61,臺北市,2018/03,大同,2.9,1.09,-,-,58,21,64.72,31.5,33.22,-,2.463,0.334,2.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,臺北市,2018/03,士林,2.2,0.4,-,35.0,39,19,18.5,4.93,13.56,-,-,-,-,-,-,-,-,-,2.11,1.75,21.27,-,-,-,-,70.4,-,-,-
63,臺北市,2018/03,中山,2.4,0.68,-,25.5,44,20,36.6,11.28,25.32,-,2.204,0.206,2.0,-,-,-,-,-,1.92,1.45,20.84,-,-,-,-,70.49,-,-,-
64,臺北市,2018/02,大同,2.9,1.16,-,-,62,23,74.68,40.97,33.71,-,2.473,0.345,2.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,臺北市,2018/02,中山,2.5,0.72,-,22.5,45,22,41.6,14.34,27.26,-,2.213,0.206,2.01,-,-,-,-,-,1.69,1.27,15.84,-,-,-,-,82.01,-,-,-
66,臺北市,2018/02,萬華,2.4,0.66,-,22.0,42,21,37.66,10.43,27.24,-,-,-,-,-,-,-,-,-,1.66,1.33,16.25,-,-,-,-,75.01,-,-,-
67,臺北市,2018/02,陽明,1.7,0.23,421.22,45.6,16,9,1.74,0.22,1.62,-,-,-,-,-,-,-,-,-,2.9,-,10.05,-,1.3,-,4.75,92.53,38.09,-,-
68,臺北市,2018/02,士林,1.9,0.44,-,32.5,41,20,19.43,4.48,14.95,-,-,-,-,-,-,-,-,-,1.87,1.51,16.19,-,-,-,-,77.65,-,-,-
69,臺北市,2018/02,古亭,1.9,0.58,-,27.5,41,17,31.53,8.86,22.67,-,2.14,0.172,1.97,-,-,-,-,-,1.76,1.5,15.73,-,-,-,-,77.83,-,-,-
70,臺北市,2018/02,松山,2.1,0.56,438.93,24.9,43,20,33.27,9.86,23.41,-,2.058,0.166,1.89,-,-,-,-,-,1.46,1.1,15.23,-,-,-,-,77.23,-,-,-
71,臺北市,2018/01,中山,2.4,0.6,-,22.4,28,12,34.72,10.86,23.86,-,2.074,0.17,1.9,-,-,-,-,-,2.11,1.67,17.24,-,-,-,-,80.44,-,-,-
72,臺北市,2018/01,陽明,1.4,0.19,417.11,41.4,9,5,2.19,0.49,1.73,-,-,-,-,-,-,-,-,-,3.5,-,10.72,-,1.55,-,4.82,94.97,71.42,-,-
73,臺北市,2018/01,萬華,2.4,0.48,-,21.1,25,12,29.07,7.04,22.04,-,-,-,-,-,-,-,-,-,2.31,1.94,17.6,-,-,-,-,74.49,-,-,-
74,臺北市,2018/01,松山,2.3,0.44,433.89,25.1,26,12,26.86,7.22,19.65,-,1.957,0.123,1.83,-,-,-,-,-,1.84,1.44,16.5,-,-,-,-,76.37,-,-,-
75,臺北市,2018/01,大同,3.2,1.0,-,-,43,14,66.99,36.92,30.07,-,2.302,0.301,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,臺北市,2018/01,士林,1.8,0.34,-,33.4,23,9,14.17,3.41,10.77,-,-,-,-,-,-,-,-,-,2.43,2.09,17.88,-,-,-,-,75.34,-,-,-
