SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.7,0.51,34.6,35,20.79,3.36,17.43,2.197,0.171,2.03,2.16,24.77,77.4
2.9,0.56,33.1,35,26.14,2.96,23.17,2.287,0.252,2.04,1.55,25.85,70.83
3,0.45,31.2,40,21.62,3.81,17.81,2.188,0.213,1.98,1.89,24.49,77.84
4.8,0.63,30.4,34,31.19,5.94,25.24,2.233,0.228,2.01,1.78,25.64,72.95
5,0.4,41,38,18.06,1.9,16.16,2.201,0.103,2.1,2.11,25.53,76.27
1.8,0.35,33.1,24,9.76,1.54,8.22,0,0,0,0.96,25.25,76.11
4.4,0.47,32.2,31,24.3,3.46,20.84,2.309,0.231,2.08,1.91,24.86,77.11
5.2,0.47,32.5,38,23.83,3.18,20.64,2.374,0.225,2.15,1.66,24.97,79.97
3.2,0.45,30.5,46,20.42,2.36,18.05,0,0,0,2.08,24.75,76.33
3.7,0.48,35.3,30,21.16,2.2,18.95,2.202,0.179,2.02,2.08,24.58,79.22
4.5,0.72,29.9,32,29.25,5.43,23.82,2.29,0.287,2,1.03,26.18,73.78
6.4,0.52,30.2,32,31.94,5.64,26.3,2.186,0.227,1.96,1.72,26.58,71.93
3.4,0.46,49.6,32,15.56,1.8,13.78,2.129,0.136,1.99,2.27,26.18,72.71
5.1,0.57,44.3,29,25.65,3.37,22.28,2.237,0.195,2.04,1.65,27.01,69.31
5,0.64,43.7,29,23.85,3.06,20.79,2.252,0.242,2.01,0.96,27.13,70.88
6.7,0.47,43.7,29,24.65,3.49,21.17,2.155,0.186,1.97,1.82,27.8,67.62
3.8,0.53,45,30,20.34,1.61,18.72,2.239,0.224,2.02,1.73,27.35,66.75
3.8,0.45,48.8,30,16.8,1.55,15.24,2.118,0.142,1.98,2.11,26.02,73.8
4.1,0.38,53.8,29,12.09,0.85,11.24,2.184,0.094,2.09,2.22,26.63,74.09
5,0.44,43.7,35,17.93,1.76,16.17,2.353,0.176,2.18,1.52,26.17,78.2
4.5,0.44,47.1,28,20.14,1.61,18.52,2.235,0.201,2.03,1.97,26.14,73.2
3.4,0.42,44.1,40,16.17,1.21,14.94,0,0,0,2.32,26.26,73.87
1.9,0.34,43.3,24,7.81,0.98,6.81,0,0,0,1.02,26.31,75.42
3.1,0.43,45.8,38,17.94,2.62,15.32,2.143,0.16,1.98,1.91,25.93,73.62
3,0.42,30.7,16,15,1.94,13.06,2.049,0.16,1.89,1.77,29.59,72.16
4.3,0.5,27.8,15,19.43,4.07,15.36,2.076,0.194,1.88,0.99,29.57,73.88
3.4,0.31,32.6,16,14.12,2.14,11.97,2.081,0.131,1.95,1.9,28.6,77.66
3.3,0.23,34.2,16,7.86,0.94,6.92,2.023,0.057,1.97,2.39,28.66,78.67
7.1,0.35,27,15,20.58,4.31,16.27,2.008,0.153,1.86,1.85,30.02,76.86
2.4,0.3,31.1,22,14.19,2.99,11.19,2.014,0.152,1.86,1.78,28.62,77.18
4.5,0.46,27.6,14,21.07,4.61,16.46,2.069,0.15,1.92,1.51,29.28,74.43
2.9,0.31,31.1,16,12.89,1.69,11.19,1.962,0.112,1.85,2.23,28.72,77.7
1.4,0.22,29.2,11,4.97,1.22,3.75,0,0,0,1.05,28.47,78.8
3,0.34,32.8,19,12.62,2.24,10.38,1.959,0.098,1.86,2.28,28.73,77.16
