SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.5,0.39,0,29,24,20.13,3.5,16.64,2.075,0.191,1.88,2.29,22.69,76.16
2.6,0.39,0,30.1,21,18.82,2.64,16.17,0,0,0,3.23,23.16,77.22
2.8,0.58,451.53,23.6,18,25.85,4.95,20.9,2.151,0.251,1.9,1.58,23.69,74.07
1.9,0.37,0,29.7,20,14.21,2.17,12.04,1.921,0.148,1.77,1.47,21.88,74.09
2.4,0.47,0,25.8,23,25.48,5.3,20.18,1.977,0.185,1.79,1.75,23.39,72.79
2.5,0.5,439.62,33.7,14,20.51,3.04,17.47,2.054,0.181,1.87,1.88,25.31,66.39
2.1,0.31,0,43.2,20,13.39,1.18,12.28,1.944,0.115,1.83,3.01,23.9,67.36
2.2,0.38,0,39.5,18,18.86,2.61,16.25,1.913,0.129,1.78,2.11,24.92,64.41
2.2,0.3,0,45.8,17,12.72,1.4,11.33,0,0,0,4.36,24.27,70.51
1.9,0.31,0,39.8,16,11.11,1.35,9.76,1.909,0.12,1.79,1.99,23.2,67.97
2.4,0.27,0,32.4,20,12.66,2.01,10.67,1.923,0.127,1.8,2.92,27.57,72.52
2.8,0.26,0,34.1,17,13.07,1.82,11.24,0,0,0,3.58,27.6,73.4
2.3,0.29,0,32.1,17,10.91,1.94,8.97,1.873,0.102,1.77,2.23,26.66,70.81
2.3,0.32,0,31.9,19,15.21,3.02,12.19,1.869,0.1,1.77,2.08,28.86,68.72
2.5,0.38,429.2,30.8,14,15.13,2.79,12.34,1.964,0.148,1.82,2.14,28.7,69.97
2.6,0.37,0,29.1,14,9.97,1.48,8.49,1.78,0.108,1.67,2.3,26.74,76.5
2.2,0.27,0,27.6,12,12.16,2.15,10,0,0,0,2.47,29.44,75.85
2,0.32,0,26.6,12,15.12,3.21,11.91,1.886,0.108,1.78,1.72,29.43,74.51
2.4,0.36,425.06,25.7,8,13.08,2.75,10.32,2.009,0.149,1.86,1.84,28.44,76.59
2.2,0.27,0,26.2,15,13.53,1.98,11.56,2.012,0.143,1.87,2.02,27.81,77.94
3,0.23,0,25.8,15,11.5,1.88,9.63,0,0,0,2.73,29.28,74.2
2.8,0.32,434.51,24.9,14,13.21,2.74,10.47,1.906,0.147,1.76,1.9,29.23,73.63
2.4,0.29,0,25.3,16,14.13,2.55,11.58,1.809,0.109,1.7,1.81,30.16,71.19
2.9,0.25,0,25,17,14.51,2.1,12.43,1.919,0.143,1.78,2.1,28.43,74.24
2.6,0.34,0,28.5,18,8.88,1.55,7.33,1.75,0.095,1.66,2.39,27.51,73.39
2.6,0.31,0,31,14,15.19,2.53,12.66,1.813,0.107,1.71,1.93,29.81,68.4
2.8,0.27,0,31.6,15,13.43,1.59,11.87,1.946,0.142,1.8,2.31,27.97,71.84
2.5,0.29,0,32.7,14,10.47,1.71,8.77,1.796,0.106,1.69,2.3,27.22,71.41
2.6,0.35,425.14,30.2,12,14.48,2.51,11.96,1.906,0.138,1.77,1.96,29.05,71.14
3,0.27,0,32.6,14,12.93,1.99,10.93,0,0,0,3.11,28.34,74.07
3,0.28,0,29.8,16,13.4,1.81,11.59,0,0,0,2.78,27.58,73.45
2.8,0.32,0,29.1,18,16.29,2.19,14.1,1.832,0.114,1.72,1.98,29.47,65.89
3,0.39,0,31.3,19,12.88,2.02,10.86,1.857,0.144,1.71,2.44,28.31,65.12
2.8,0.37,427.26,27.1,15,15.74,2.45,13.3,1.924,0.144,1.78,2.12,28.57,70.04
2.5,0.28,0,25.2,18,13.77,1.47,12.31,1.999,0.162,1.84,2.28,27.66,69.2
3.5,0.4,0,40.7,26,17.07,1.92,15.15,0,0,0,2.81,23.71,71.58
3.2,0.39,0,39.8,28,17.58,1.69,15.91,2.029,0.177,1.85,2.14,23.64,66.48
2.6,0.38,0,39.4,26,12.85,1.78,11.07,1.894,0.125,1.77,2.05,23.05,69.2
3.2,0.44,0,37.2,29,19.74,2.06,17.67,1.942,0.15,1.79,1.82,25.3,63.96
3.1,0.49,441.24,33.7,23,19.44,2.76,16.69,2.045,0.185,1.86,1.81,24.68,69.17
2.5,0.52,0,31.8,30,27.33,5.27,22.06,2.03,0.201,1.83,1.85,21.8,64.91
2.7,0.43,0,37,29,22.57,3.82,18.78,2.072,0.223,1.85,2.37,20.19,67.5
2.3,0.41,0,38.6,23,13.2,2.25,10.95,1.915,0.123,1.79,2.1,19.42,70.05
2.5,0.54,443.62,32,22,23.05,3.8,19.26,2.119,0.225,1.89,1.81,21.49,69.53
2.5,0.38,0,36.7,29,18.45,2.22,16.22,0,0,0,3.31,20.02,74.99
2.3,0.62,443.13,22.7,20,27.64,6.54,21.11,2.104,0.223,1.88,1.79,17.2,75.8
2.3,0.46,0,32.8,27,21.7,4.5,17.24,1.958,0.167,1.79,3.07,15.89,71.91
1.9,0.4,0,32.5,29,17.57,2.81,14.76,0,0,0,4.4,15.28,80.15
1.8,0.4,0,29.3,18,13.17,2.32,10.86,1.92,0.122,1.8,2.05,15.16,77.78
2.1,0.55,0,26,27,28.21,7.34,20.86,1.987,0.178,1.81,2.02,17.09,70.38
2.2,0.4,0,28.6,19,21.87,4.75,17.12,1.898,0.156,1.74,2.89,16.73,73.12
2.2,0.58,445.6,18.1,16,28.69,6.6,22.1,2.077,0.235,1.84,1.73,17.77,77.74
2.1,0.49,0,22.1,19,27.46,7.16,20.3,1.98,0.179,1.8,1.92,17.84,72.84
1.9,0.37,0,28.9,17,17.15,3.17,13.98,0,0,0,4.23,16.58,81.27
2.1,0.38,0,24.7,17,15.36,2.94,12.43,1.961,0.153,1.81,1.97,16.12,78
2.4,0.48,0,25.9,24,27.11,6.79,20.33,1.988,0.173,1.82,2.15,18.52,71.63
2.6,0.39,0,33.2,24,20.01,3.76,16.25,1.906,0.153,1.75,3.44,18.28,69.82
2.4,0.55,414.27,22.5,20,25.74,6.04,19.7,2.072,0.218,1.86,2.05,18.79,73.45
2.3,0.36,0,31.7,21,16.86,2.53,14.33,0,0,0,4.88,17.11,78.21
2,0.35,0,29.7,18,12.56,2.19,10.38,1.89,0.117,1.77,2.15,17.02,76.29
2.2,0.51,414.44,24.3,16,24.18,4.81,19.37,2.108,0.209,1.9,1.87,23.49,77.1
2.1,0.32,0,28.1,15,12.69,2.23,10.46,1.886,0.118,1.77,2,21.99,78.92
2.1,0.41,0,25.6,19,22.25,4.27,17.98,1.94,0.158,1.78,2.05,23.66,77.01
2.2,0.32,0,30.7,14,15.5,2.22,13.28,0,0,0,4.31,21.64,85.2
2.3,0.34,0,32.2,18,18.14,3.23,14.9,1.884,0.145,1.74,3.06,22.85,75.45
2.5,0.46,417.32,33.3,23,17.49,2.89,14.61,2.038,0.156,1.88,2.1,26.69,70.42
2.5,0.37,0,36.2,21,17.46,2.38,15.08,1.887,0.119,1.77,2.17,27.47,69.67
2.6,0.31,0,42.7,20,14.46,2.16,12.3,1.862,0.106,1.76,3.33,26.03,68.02
2.1,0.28,0,38.4,17,9.54,1.45,8.09,1.837,0.086,1.75,2.14,25.13,71.62
2.4,0.29,0,39.5,17,13.21,1.64,11.56,0,0,0,4.59,25.22,76.5
3.6,0.31,0,31.4,19,15.75,2.28,13.46,0,0,0,2.37,28.49,72.65
3.9,0.32,0,30.5,23,18.21,3.22,14.99,1.919,0.196,1.72,1.85,29.05,67.63
3.1,0.43,412.5,32.7,20,16.66,2.95,13.72,2.054,0.175,1.88,1.81,29.38,70.73
2.8,0.34,0,36.6,21,11.99,1.78,10.2,1.859,0.126,1.73,1.93,27.91,73.9
3.4,0.39,0,31.7,24,18.06,2.55,15.51,1.915,0.132,1.78,1.77,30.7,70.66
2.6,0.31,0,24.1,17,14.54,2.72,11.81,1.873,0.088,1.79,1.91,29.47,73.01
3.1,0.37,0,27.5,17,9.74,1.71,8.03,1.88,0.135,1.75,2.63,27.82,74.93
2.8,0.34,415.53,24.7,17,13.56,3.02,10.54,0,0,0,2.1,28.98,70.52
3.2,0.24,0,23.8,15,15.2,3.65,11.55,1.93,0.168,1.76,2.13,29.46,77.13
2.7,0.25,0,22.3,14,13.07,2.38,10.69,0,0,0,2.69,28.63,71.31
3.1,0.24,0,28.2,15,8.67,1.55,7.12,1.833,0.096,1.74,2.33,26.88,76.2
2.6,0.3,428.71,26.1,14,13.83,2.52,11.32,0,0,0,1.9,28.64,70.8
2.7,0.3,0,25.3,15,15.51,2.51,13,1.829,0.101,1.73,1.82,27.99,73.18
3,0.24,0,25.7,14,15.47,3.35,12.11,1.902,0.163,1.74,1.93,29.69,75.32
3.1,0.22,0,25.9,12,12.52,2.01,10.51,0,0,0,2.58,28.47,74.01
2.2,0.31,0,18.2,11,15.96,3.84,12.11,1.817,0.081,1.74,1.85,28.87,75.72
2.8,0.24,0,18.3,10,16.81,4.45,12.36,1.86,0.161,1.7,2.27,28.34,77.04
2.5,0.3,0,23.7,12,9.25,2.26,6.99,1.852,0.132,1.72,3.04,27.3,75.57
2.3,0.3,420.36,18.5,11,14.48,3.45,11.03,1.712,0.169,1.54,2.04,28.95,72.78
2.9,0.25,0,19.8,11,13.69,2.92,10.77,0,0,0,3.01,29.22,78.02
2.7,0.42,0,31.4,22,21.04,3.25,17.79,1.958,0.151,1.81,1.79,27.68,69.44
2.8,0.33,0,34.1,21,19.49,3.25,16.24,1.973,0.196,1.78,1.82,26.87,71.28
2.8,0.46,422.01,30.5,17,20.9,3.16,17.75,1.856,0.202,1.65,1.76,27.89,69.87
3.3,0.36,0,35.2,22,18.08,2.43,15.64,0,0,0,2.65,26.84,75.83
3.2,0.4,0,35.5,18,12.36,1.88,10.47,1.905,0.137,1.77,2.1,25.57,73.73
2.8,0.5,429.9,29,25,23.04,3.67,19.38,1.901,0.218,1.68,1.84,23.66,68.44
3,0.48,0,33.6,27,23.06,3.6,19.46,1.979,0.165,1.81,1.83,24.31,66.37
3.7,0.36,0,36.6,27,21.15,3.64,17.51,1.876,0.179,1.7,2.31,23.8,67.8
3,0.44,0,39.2,22,13.69,2.09,11.6,1.921,0.148,1.77,2.35,22.12,70.85
2.8,0.38,0,39.8,28,18.18,2.16,16.02,0,0,0,3.05,23.51,70.81
