SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.9,0.37,32.1,22,16,1.94,14.19,2.036,0.104,1.932,3.56,23.08,80.64
2.9,0.51,28.5,21,21,2.48,18.35,2.159,0.202,1.957,1.3,23.58,71.83
3.8,0.35,27.6,24,13,1.96,11.39,0,0,0,2.6,22.98,83.83
4.5,0.32,42.5,21,11,1.22,10.04,0,0,0,3.29,24.44,74.93
3.8,0.34,46.4,18,13,1.14,11.71,1.983,0.079,1.903,4.66,24.33,73.13
2.5,0.5,43.7,19,18,1.5,16.6,2.091,0.186,1.906,0.86,25.3,66.09
3.1,0.26,35.5,20,9,1.58,7.89,1.967,0.068,1.898,3.81,28.25,78.67
3.3,0.39,35.2,21,13,1.61,11.69,2.023,0.164,1.859,0.92,28.62,71.63
3.6,0.22,30.2,23,8,1.48,6.45,0,0,0,2.88,28.28,79.23
3.5,0.18,25.8,15,6,1.16,4.82,0,0,0,2.31,28.55,82.26
3.2,0.28,28.2,11,9,1.34,7.58,2.014,0.116,1.898,1.18,28.49,76.49
2.2,0.22,29.5,10,8,1.65,6.32,2.087,0.119,1.968,2.77,28.66,83.84
3.2,0.16,22.9,20,7,1.35,5.35,0,0,0,2.22,29.4,79.11
4.2,0.24,24.2,16,7,0.44,6.45,1.929,0.111,1.818,3.29,29.81,78.29
2.7,0.19,27,12,8,1.65,6.78,1.998,0.126,1.873,2.81,29.33,82.71
4.4,0.3,28.7,16,11,0.94,9.61,1.973,0.126,1.847,4.02,29.24,78.69
3.1,0.24,32.8,12,10,1.2,8.78,2.061,0.153,1.908,3.16,29.62,79.97
3.7,0.22,28.1,19,9,1.63,7.11,0,0,0,2.53,28.57,79.04
3.6,0.21,23.9,21,9,1.85,7.04,0,0,0,2.11,28.07,77.58
2.8,0.23,30.4,16,10,1.57,8.18,2.057,0.151,1.906,2.57,28.75,78.92
4.5,0.3,25.8,19,12,1.39,10.43,1.97,0.122,1.847,4.1,28.82,76.53
3.3,0.32,34.5,32,10,1.44,8.82,0,0,0,2.21,24.26,75.57
3.2,0.36,41,29,13,1.47,11.62,2.091,0.098,1.994,1,24.86,74.99
3.8,0.43,35.4,30,14,0.89,12.73,2.059,0.152,1.907,3.99,24.98,72.65
3.2,0.5,31.2,31,18,1.53,16.49,2.114,0.188,1.927,4.45,21.44,74.2
3.6,0.38,33.3,33,14,2.28,11.27,0,0,0,2.83,20.76,77.84
3.4,0.4,36.2,31,17,2.39,14.93,2.07,0.113,1.957,1.06,21.18,77.57
3.3,0.44,34,30,17,2.1,14.56,2,0.083,1.917,1.32,16.68,79.73
2.5,0.53,26.1,30,20,3.22,17.24,2.06,0.166,1.895,5.55,16.76,78.18
4,0.42,30.5,31,13,1.57,11.78,0,0,0,3.91,16.34,80.9
4.2,0.38,26.9,22,14,2.02,11.55,0,0,0,3.65,17.12,83.07
2.5,0.47,22.3,20,20,3.28,16.9,2.043,0.169,1.874,5.27,17.56,80.37
3.3,0.39,29.3,22,17,2.74,14.26,2.004,0.098,1.906,1.29,17.67,81.83
3.3,0.38,30.3,29,18,3.19,14.89,2.031,0.117,1.913,1.21,18.89,76.74
3,0.48,25.4,26,20,3.01,16.8,2.062,0.177,1.885,5.8,18.96,76.13
4.1,0.37,30.2,25,14,2.04,12.01,0,0,0,4.12,18.37,78.22
4,0.33,32.8,22,14,1.75,12.6,1.97,0.074,1.896,4.85,23.28,82.02
2.7,0.42,24.9,20,17,1.93,14.91,2.019,0.166,1.853,5.4,23.52,81.44
4,0.31,30.6,21,12,1.61,10.55,0,0,0,3.54,23.02,81.93
3.6,0.3,39.7,23,13,1.61,11.03,1.975,0.066,1.909,4.86,26.87,76.82
3.4,0.28,36.5,21,11,1.4,9.43,0,0,0,3.52,26.29,76.02
3.1,0.38,34.5,23,14,1.34,12.5,1.971,0.136,1.836,5.5,27.18,70.97
3.3,0.23,27.8,23,10,1.69,8.36,0,0,0,1.84,29.24,77.88
4.4,0.36,28.6,26,13,1.19,11.47,1.995,0.155,1.841,3.71,30.13,69.28
3.8,0.28,32.1,23,11,2.02,9.02,2.012,0.08,1.934,2.37,30.06,78.95
2.7,0.16,19.8,15,7,1.53,5.49,0,0,0,2.28,29.73,78.6
2.5,0.19,24.1,17,8,1.57,6.34,2.022,0.085,1.939,2.93,30.25,81.15
3.7,0.26,22.9,18,10,1.76,7.93,1.94,0.123,1.817,4.14,31.13,71.59
3.1,0.16,25.1,0,8,1.22,6.64,0,0,0,2.22,29.07,76.95
2.5,0.19,27.7,16,8,1.27,6.98,1.978,0.093,1.886,2.64,29.17,78.81
3.7,0.25,26.1,17,9,1.47,7.39,1.878,0.12,1.758,3.57,29.88,72.35
2.9,0.22,19.6,13,9,1.61,7.34,1.885,0.134,1.751,2.08,28.97,76.6
2,0.19,20.5,14,9,1.86,6.84,2.053,0.144,1.91,3.06,28.54,83.48
2.7,0.12,18.7,10,8,1.71,5.9,0,0,0,2.6,28.89,81.78
4.2,0.32,37,25,14,2.02,11.9,2.137,0.135,2.002,2.55,26.71,78.46
3.6,0.4,31.2,24,16,1.86,13.76,2.023,0.174,1.848,1.9,27.19,72.58
3.6,0.27,33.3,19,12,1.88,9.95,0,0,0,2.04,27.1,78.74
3.6,0.36,41.2,31,14,2.08,12.14,2.055,0.106,1.95,3.16,23.49,74.03
3.5,0.45,35.3,31,17,2.16,14.53,2.027,0.178,1.85,2.08,23.63,69.62
3.2,0.3,38.5,24,12,1.54,10.35,0,0,0,2.51,23.39,75.78
4.6,0.41,40.6,35,19,2.19,16.43,2.018,0.1,1.918,3.83,19.6,76.49
4.3,0.4,39.9,26,15,1.69,13.75,0,0,0,3.13,20.17,76.92
3.1,0.51,32.3,32,21,2.85,18.51,2.053,0.189,1.864,2.37,19.65,71.3
4.1,0.41,36.5,31,17,2.68,14.36,1.968,0.079,1.889,4.93,17.13,74.74
4,0.36,35.1,23,14,2.01,12.05,0,0,0,3.87,17.84,75.49
2.4,0.48,28.5,28,19,2.8,16.61,2.015,0.165,1.85,2.69,17.06,68.91
4.1,0.36,29.8,21,15,2.14,12.56,0,0,0,3.56,19.23,78.73
2.7,0.48,24.7,28,19,3.26,16.15,2.012,0.169,1.843,2.57,18.31,72.62
4.3,0.39,31.1,28,16,2.42,13.87,1.978,0.07,1.909,4.66,18.47,78.43
4.3,0.38,30,32,19,2.93,15.78,2.033,0.094,1.94,4.73,20.25,76.3
2.7,0.51,24.1,29,21,3.29,18.01,2.048,0.197,1.852,2.61,20.11,71.32
4.1,0.36,29.5,21,16,2.34,13.76,0,0,0,3.69,20.91,77.4
5,0.38,31.5,32,19,2.67,16.59,2.061,0.111,1.95,4.01,23.51,78.7
3.4,0.51,26.1,27,21,3.2,18.15,2.046,0.218,1.829,2.28,23.49,72.84
4,0.35,30.8,23,14,1.79,12.55,0,0,0,3.03,23.86,78.84
4.6,0.34,30.5,31,16,2.53,12.97,2.048,0.11,1.939,3.2,27.61,80.29
4.1,0.3,28.8,24,12,2.14,10.34,0,0,0,2.46,27.46,80.41
3.7,0.45,29,30,16,1.95,14.28,2.007,0.196,1.811,2.05,27.91,74.06
3.5,0.25,26.4,11,11,2.21,9.1,0,0,0,2.79,28.05,79.13
2.8,0.36,25.2,17,14,2.57,11.23,1.929,0.152,1.777,2.39,28.48,74.21
3.9,0.28,27.6,18,13,2.61,10.14,2.013,0.075,1.941,3.07,27.84,81.41
3.5,0.19,30.8,15,8,1.29,6.36,0,0,0,2.02,29.15,78.24
3.5,0.26,34.9,20,9,1.48,7.64,2.059,0.07,1.993,2.38,29.46,80.06
3.7,0.34,29.5,21,12,1.36,10.28,1.964,0.145,1.819,1.86,30.04,73.08
3.2,0.14,22.6,15,8,1.98,5.88,0,0,0,2.85,29.52,74.5
2.8,0.18,24.4,16,8,1.71,6.51,1.917,0.054,1.866,3.24,29.94,77.57
3.3,0.22,23.7,16,8,1.32,7.02,1.85,0.103,1.747,2.25,31.24,70.62
3.3,0.24,22.6,12,8,1.22,7.23,1.832,0.114,1.717,2.17,30.96,74.17
2.3,0.2,22.6,13,9,1.88,7.06,1.901,0.069,1.835,3.04,29.38,80.45
2.7,0.15,20.2,14,8,1.92,6.17,0,0,0,2.65,28.91,77.82
3.8,0.31,30.2,23,12,1.94,10.4,1.988,0.081,1.909,2.85,27.48,81.43
3.5,0.38,28,21,14,1.64,11.93,1.98,0.158,1.822,2.09,29.17,74.69
3.4,0.27,27.8,21,11,1.96,8.96,0,0,0,2.43,26.54,78.7
4.1,0.37,35.7,37,14,2.08,12.1,2.07,0.096,1.975,2.77,24.54,83.81
3.7,0.48,29.3,32,17,2.29,15.1,2.061,0.182,1.879,1.95,25.87,77.96
4,0.34,33.6,32,11,1.81,9.27,0,0,0,2.34,23.02,81.26
4.5,0.41,34.8,37,21,3.11,18.11,2.08,0.13,1.95,3.83,17.93,79.36
3.9,0.4,35,35,16,2.23,13.35,0,0,0,3.13,17.62,79.55
3.5,0.59,27,33,27,4.84,21.75,2.14,0.23,1.91,2.2,18.53,76.02
3.9,0.39,34.6,30,16,2.15,13.83,2.016,0.077,1.94,5.18,15.86,77.47
3.7,0.38,34.1,29,14,1.7,11.79,0,0,0,4.23,16.02,74.71
2.6,0.5,27.4,28,19,3.07,16.37,2.016,0.16,1.856,2.9,16.37,70.93
3.6,0.41,28.1,26,14,2.05,12.41,0,0,0,3.92,17.56,81.13
3.2,0.57,20.4,22,25,6.23,18.55,2.074,0.212,1.862,2.67,15.95,78.13
4.1,0.42,28.6,27,19,2.81,16.03,2.013,0.095,1.919,4.9,16.54,83.08
4.7,0.44,27.7,28,20,3.31,16.44,2.017,0.115,1.903,4.76,19.28,78.56
3.5,0.57,21.9,22,23,4.68,18.44,2.065,0.202,1.863,2.66,18.88,73.75
4.4,0.41,28.2,31,16,2.37,13.55,0,0,0,3.8,20.38,76.58
4.8,0.43,31.3,30,19,2.85,16.49,2.049,0.122,1.927,3.5,24.04,79.53
4.1,0.56,27.7,31,21,3.03,18.25,2.088,0.22,1.868,2.19,24.02,72.66
4.7,0.4,30.5,35,16,2.71,12.85,0,0,0,2.77,25.05,79.52
4.7,0.38,37.6,27,16,2.19,14.13,1.998,0.092,1.906,3.61,25.83,78.75
4.2,0.34,36.5,29,12,1.7,10.34,0,0,0,2.61,25.85,78.55
3.5,0.48,34,29,17,1.92,15.31,2.018,0.181,1.837,2.13,25.92,73.04
3.9,0.29,34.7,24,11,1.82,8.98,0,0,0,2.65,27.59,77.24
4.2,0.43,33.9,22,15,1.67,13.05,2.006,0.163,1.843,2.34,27.93,71.86
4.5,0.34,36,21,15,2.4,12.12,2.133,0.182,1.952,3.46,27.67,78.33
2.9,0.16,23.2,16,8,1.81,5.73,0,0,0,2.51,28.76,83.55
3,0.23,25.5,13,10,2.17,7.49,2.009,0.111,1.9,3.12,28.71,80.66
3.3,0.32,24.2,17,10,1.93,8.5,1.961,0.142,1.819,2.1,28.32,75.84
2.9,0.16,27.9,19,7,1.58,5.16,0,0,0,2.87,29.92,78.41
2.8,0.21,29.3,16,7,1.43,5.73,1.94,0.064,1.88,3.42,29.42,78.94
3.6,0.26,26.7,16,9,1.21,7.69,1.892,0.101,1.79,2.51,29.31,72.66
3.9,0.24,18.5,13,9,1.64,7.72,1.892,0.123,1.769,2.03,30.26,71.95
2.7,0.21,18.1,11,8,1.96,6.33,1.983,0.084,1.901,3.12,29.86,78.9
2.6,0.15,17.5,18,9,2.52,6.5,0,0,0,2.5,30.45,77.83
3.5,0.29,26.1,20,12,2.03,10.23,0,0,0,2.85,26.78,83.11
3.8,0.35,23.3,19,14,2.04,12.04,0,0,0,1.56,27.28,78
2.6,0.22,25.3,21,10,1.76,8.23,0,0,0,2.27,28.97,80.82
4.1,0.32,36.1,23,13,1.74,11.01,0,0,0,3.71,23.66,75.54
3.6,0.39,33.1,20,15,2.02,13.3,0,0,0,1.96,24.23,69.64
3.8,0.28,33.9,26,12,1.82,10.39,0,0,0,3.01,24.66,73.96
4.4,0.4,33.2,32,17,2.27,14.75,0,0,0,3.75,20.07,78.61
4.4,0.4,32.8,35,15,1.7,13,0,0,0,3,20.75,78
3.7,0.54,27.8,26,21,3,18.47,0,0,0,1.66,20.3,73.52
4.5,0.44,32.6,36,17,2.52,14.38,0,0,0,4.06,17.44,75.54
4.3,0.41,32.2,39,15,1.97,12.62,0,0,0,3.18,17.85,76.5
3.4,0.57,28.1,32,22,3.45,18.04,0,0,0,1.91,17.46,70.03
4.1,0.43,31.9,43,17,2.45,14.29,0,0,0,3.43,16.84,73.61
3.5,0.57,26.7,35,23,3.67,19.73,0,0,0,1.88,16.6,66.52
4.8,0.47,32.2,35,19,3.21,16.26,0,0,0,4.57,16.71,71.13
4.7,0.43,29.3,33,20,3.58,16.23,0,0,0,5.23,17.06,70.06
3.6,0.57,22,32,25,4.99,19.86,0,0,0,2.22,16.66,68.07
4.2,0.41,28.3,43,18,2.94,14.64,0,0,0,3.88,17.93,73.32
4.4,0.4,32.1,31,18,2.92,15.5,0,0,0,4.07,22.79,74.45
4,0.57,26.9,35,23,3.82,19.14,0,0,0,1.79,23.07,71.29
4.1,0.37,31.8,43,15,2.22,13.05,0,0,0,2.96,24.33,77.17
4.6,0.37,42.8,33,15,1.63,13.46,0,0,0,4.59,25.17,70.04
3.8,0.33,42.7,44,13,1.47,11.23,0,0,0,3.24,26.47,73.09
3.9,0.48,38.6,37,18,1.83,16.33,0,0,0,2.14,25.79,66.03
3.3,0.22,26.4,32,10,2.02,8.01,0,0,0,1.99,31.03,77.7
4.9,0.38,27.5,24,13,1.75,11.44,0,0,0,1.65,30.05,73.11
4,0.27,27.9,19,11,1.68,9.24,0,0,0,2.58,29.68,76.86
2.3,0.14,24.7,23,7,1.65,5.45,0,0,0,2.44,30.89,78.43
3.2,0.18,26.9,13,7,1.28,5.26,0,0,0,2.98,29.63,76.82
3.3,0.24,25.4,14,9,1.45,7.28,0,0,0,1.99,29.71,73.21
3,0.15,24.3,26,8,1.78,6.22,0,0,0,2.59,31.24,72.37
3.4,0.19,25.6,14,7,1.36,5.48,0,0,0,3.29,30.5,75.71
4.2,0.27,24.8,18,11,1.85,9.05,0,0,0,2.26,30.84,70.93
3,0.31,23.5,15,10,1.48,8.94,0,0,0,2.18,29.12,75.38
3.4,0.23,24.6,14,9,1.55,7.85,0,0,0,3.4,27.83,84.89
2.8,0.19,23.4,24,8,1.71,6.26,0,0,0,2.87,29.32,77.02
3.7,0.33,28.4,19,13,2.06,11,0,0,0,2.8,25.19,88.02
3.8,0.44,22.5,20,16,2.48,13.44,0,0,0,1.59,26.07,79.69
2.6,0.25,26.1,19,10,1.76,8.54,0,0,0,2.25,25.8,84.57
