SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
1.5,0.17,416.58,41.3,6,2.32,0.44,1.86,0,0,0,0,16.32,96.92
2.3,0.39,428.07,25.5,12,24.56,5.54,19.02,1.905,0.124,1.78,1.74,22.12,78.93
2,0.44,0,24.6,12,26.7,5.49,21.21,0,0,0,2.15,23.19,75.29
2.4,0.54,0,23.5,13,30.91,7.95,22.96,1.997,0.157,1.84,2.01,22.81,81.56
1.9,0.3,0,32.4,12,13.41,2.71,10.71,0,0,0,2.12,23.58,75.69
1.9,0.39,0,29.1,16,21.08,4.23,16.85,2.025,0.112,1.91,2.23,22.8,76.92
2.7,1,0,0,13,61.26,31.29,29.97,2.273,0.297,1.98,0,0,0
2.4,0.38,424.55,37.9,14,21.43,3.42,18.02,1.875,0.104,1.77,1.79,22.88,74.56
2.1,0.43,0,35.6,14,24.74,3.59,21.15,0,0,0,2.1,24.02,71.41
1.7,0.29,0,45.9,14,12.45,2.13,10.33,0,0,0,2.1,24.16,72.48
2,0.52,0,33,14,27.82,4.98,22.85,2.009,0.147,1.86,1.94,23.55,76.23
2.8,1.08,0,0,14,62.34,29.18,33.17,2.291,0.311,1.98,0,0,0
1.5,0.17,415.32,54.6,8,1.72,0.3,1.39,0,0,0,2.9,16.81,94.14
1.9,0.38,0,41,14,19.3,3.2,16.1,2.014,0.099,1.92,2.24,23.37,72.89
1.7,0.13,412.11,35.4,9,2.64,0.54,2.08,0,0,0,3.3,21.55,93.85
1.9,0.35,0,25.1,16,18.78,4.82,13.96,1.966,0.11,1.86,2.11,28.3,68.06
2.3,0.46,0,21.7,15,24.33,6.53,17.8,1.96,0.15,1.81,2,28.59,74.43
2.1,0.26,0,29.1,15,12.4,2.41,10,0,0,0,2.24,28.91,73.8
3,1.15,0,0,14,59.36,33.94,25.43,2.28,0.341,1.94,0,0,0
2.1,0.4,0,22.3,15,22.75,5.13,17.62,0,0,0,1.81,28.98,70.72
2.7,0.33,423.15,25.2,14,19.66,5.42,14.24,1.828,0.109,1.72,1.85,28.09,72.05
3.2,1.28,0,0,14,57.67,32.31,25.36,2.382,0.371,2.01,0,0,0
2.8,0.56,0,18.5,13,28.06,7.86,20.2,2.052,0.183,1.87,1.71,29.89,74.64
2.2,0.39,0,24.1,18,20.69,4.98,15.71,2.027,0.144,1.88,1.79,29.55,68.8
3.1,0.38,428.91,22.4,13,21.62,5.5,16.11,1.921,0.141,1.78,1.74,29.53,71.91
2.4,0.3,0,26.4,15,14.75,2.68,12.08,0,0,0,1.85,29.96,76.61
1.8,0.13,413.75,32.3,9,3.21,0.56,2.62,0,0,0,2.26,22.66,94.06
2.5,0.45,0,21.2,15,22.55,4.75,17.81,0,0,0,1.59,30.09,71.62
2.1,0.35,0,15.5,12,18.91,5.6,13.31,0,0,0,2.07,30.96,66.08
2.2,0.21,0,18.7,12,11.6,2.68,8.92,0,0,0,2.73,30.75,72.68
2.2,0.28,0,19.1,9,16.37,5.07,11.3,1.884,0.097,1.79,2.44,30.48,62.55
2.7,0.3,422.91,17.9,12,18.78,6.48,12.3,1.825,0.107,1.72,2.07,30.33,65.98
1.8,0.09,412.68,24.4,8,2.93,0.57,2.31,0,0,0,3,22.98,90.58
2.6,0.46,0,13.6,13,24.56,9.22,15.34,1.961,0.155,1.81,2.28,30.72,68.93
3.1,1.1,0,0,13,51.72,32.38,19.35,2.231,0.323,1.91,0,0,0
2.9,0.35,426.67,29.5,13,19.73,4.78,14.95,1.9,0.114,1.79,1.84,28.23,73.2
2.3,0.36,0,30.3,11,19.33,4.48,14.85,1.952,0.109,1.84,2.05,28.77,68.63
2.9,0.49,0,23.9,12,25.71,6.73,18.98,2.003,0.154,1.85,2.02,28.88,74.04
3.4,1.18,0,0,15,57.62,30.85,26.77,2.294,0.345,1.95,0,0,0
2.4,0.4,0,26.9,14,21.52,4.53,16.99,0,0,0,1.97,29,71.66
2.7,0.29,0,29.5,15,13.79,2.41,11.38,0,0,0,2.14,29.3,74.98
1.8,0.14,417.25,38,9,3.32,0.67,2.63,0,0,0,2.22,21.78,91.92
1.8,0.19,423.12,44.7,16,4.64,0.6,4.02,0,0,0,1.88,21.09,89.63
4.1,1.08,0,0,21,54.08,24.03,30.06,2.339,0.328,2.01,0,0,0
3.6,0.56,0,27.8,22,28.96,6.17,22.79,2.088,0.176,1.91,1.93,28.31,70.46
5.2,0.43,437.95,34,21,23.85,4.36,19.49,1.947,0.143,1.8,1.69,27.66,68.81
3.1,0.47,0,31.1,20,23.84,3.56,20.28,0,0,0,1.81,28.5,68.14
3.1,0.34,0,31.6,20,15.2,2.26,12.94,0,0,0,2,28.41,73.93
3,0.43,0,35.6,17,21.9,3.71,18.19,2.016,0.129,1.89,1.94,28.21,65.74
3,1.15,0,0,23,63.67,30.51,33.16,2.37,0.333,2.04,0,0,0
2.2,0.45,0,39.4,17,21.4,4.04,17.36,2.019,0.118,1.9,1.94,23.52,65.7
2.5,0.51,0,35.6,21,25.54,4.4,21.14,0,0,0,1.86,24.05,66.19
2.1,0.22,423.19,51.4,17,3.68,0.65,3,0,0,0,2.02,16.66,89.09
2.3,0.38,0,38.4,22,15.24,2.6,12.64,0,0,0,1.91,24,71.58
2.7,0.45,437.55,35.5,20,23.77,4.75,19.02,1.956,0.134,1.82,1.69,23.06,67.59
2.4,0.59,0,32.7,22,29.95,6.44,23.51,2.105,0.165,1.94,1.89,23.77,69.84
2.1,0.51,0,31.9,17,26.63,6.13,20.5,2.087,0.152,1.94,2.04,20.7,66.74
2.5,0.49,440.49,29,18,27.83,6.83,21,1.991,0.147,1.84,1.79,20.13,68.08
2.2,0.4,0,35,19,18.5,4.93,13.56,0,0,0,2.11,21.27,70.4
2.4,0.68,0,25.5,20,36.6,11.28,25.32,2.204,0.206,2,1.92,20.84,70.49
1.9,0.2,419.41,47.1,11,2.83,0.43,2.43,0,0,0,2.88,13.93,89.37
2.4,0.59,0,27.3,18,31.71,7.27,24.44,0,0,0,1.92,21.14,66.56
2.9,1.09,0,0,21,64.72,31.5,33.22,2.463,0.334,2.13,0,0,0
2.4,0.66,0,22,21,37.66,10.43,27.24,0,0,0,1.66,16.25,75.01
1.9,0.58,0,27.5,17,31.53,8.86,22.67,2.14,0.172,1.97,1.76,15.73,77.83
1.7,0.23,421.22,45.6,9,1.74,0.22,1.62,0,0,0,2.9,10.05,92.53
2.1,0.56,438.93,24.9,20,33.27,9.86,23.41,2.058,0.166,1.89,1.46,15.23,77.23
1.9,0.44,0,32.5,20,19.43,4.48,14.95,0,0,0,1.87,16.19,77.65
2.9,1.16,0,0,23,74.68,40.97,33.71,2.473,0.345,2.13,0,0,0
2.5,0.72,0,22.5,22,41.6,14.34,27.26,2.213,0.206,2.01,1.69,15.84,82.01
2.4,0.6,0,22.4,12,34.72,10.86,23.86,2.074,0.17,1.9,2.11,17.24,80.44
3.2,1,0,0,14,66.99,36.92,30.07,2.302,0.301,2,0,0,0
1.4,0.19,417.11,41.4,5,2.19,0.49,1.73,0,0,0,3.5,10.72,94.97
2.3,0.44,433.89,25.1,12,26.86,7.22,19.65,1.957,0.123,1.83,1.84,16.5,76.37
2.4,0.48,0,21.1,12,29.07,7.04,22.04,0,0,0,2.31,17.6,74.49
1.9,0.45,0,27.3,10,24.2,6.08,18.11,2.037,0.126,1.91,2.46,17.01,77.36
1.8,0.34,0,33.4,9,14.17,3.41,10.77,0,0,0,2.43,17.88,75.34
2.2,0.31,0,37.6,14,12.15,2.69,9.46,0,0,0,2.62,18.79,72.23
2,0.42,0,29.7,15,22.23,4.71,17.52,2.023,0.114,1.91,2.53,17.85,78.66
2.6,0.47,0,23.5,15,29.28,6.59,22.69,0,0,0,2.39,18.54,71.98
2.6,0.41,427.22,26.2,16,25.06,5.99,19.07,1.943,0.114,1.83,1.89,17.35,74.57
3,0.97,0,0,15,66.17,35.58,30.59,2.295,0.293,2,0,0,0
1.7,0.19,416.2,42.5,9,2.61,0.59,2,0,0,0,3.62,11.19,96.04
2.5,0.57,0,24.1,16,32.46,9.22,23.25,2.086,0.166,1.92,2.21,18.1,79.4
2.2,0.4,419.03,23.8,12,25.11,6.55,18.56,1.937,0.127,1.81,1.8,21.91,81.88
2.9,1.05,0,0,11,62.59,33.4,29.19,2.327,0.332,2,0,0,0
2.6,0.58,0,20.4,11,34.51,11.34,23.16,0,0,0,1.78,23.11,79.82
2,0.43,0,26.5,12,23.49,5.71,17.78,2.046,0.127,1.92,2.32,22.54,83.79
2.5,0.31,0,33.6,11,13.23,2.91,10.33,0,0,0,2.38,23.42,78.87
2.5,0.59,0,21.7,11,33.21,10.46,22.75,2.103,0.185,1.92,2.1,22.69,86.34
1.5,0.15,414.01,39.7,4,2,0.53,1.46,0,0,0,3.33,16.55,97.48
1.9,0.29,0,35,14,11.93,2.83,9.1,0,0,0,2.66,26.27,75.67
2.7,0.71,0,20.5,14,41.58,17.83,23.75,0,0,0,1.21,26.7,74.55
0,0.97,0,0,15,55.04,28.95,26.08,2.241,0.291,1.95,0,0,0
1.7,0.13,410.13,40.6,8,2.03,0.42,1.57,0,0,0,3.88,18.85,95.65
2,0.38,0,29.8,14,19.56,4.25,15.3,2.018,0.102,1.92,2.42,25.61,77.74
2.2,0.59,0,21.3,14,30.22,9.25,20.96,2.074,0.175,1.9,0.93,26.25,80.86
2.4,0.35,420.16,28.4,14,21.93,5.71,16.22,1.896,0.102,1.79,2,25.12,75.84
3.5,0.67,0,23.4,18,33.11,8.91,24.2,2.115,0.197,1.92,0.87,30.05,70.08
3.5,0.32,0,33.1,17,14.97,2.5,12.47,0,0,0,2.13,30.15,72.91
2.6,0.14,412.76,42.6,13,4.05,0.56,3.49,0,0,0,2.57,22.26,88.04
3.2,0.42,0,33,17,20.91,3.97,16.95,2.087,0.143,1.94,2,29.66,71.24
4,0.43,426.7,29.5,19,24.85,5.73,19.12,1.939,0.146,1.79,1.75,29.24,70.62
3.6,0.81,0,22.3,19,42.84,16.35,26.5,0,0,0,1.04,30.66,69.22
4.6,1.24,0,0,17,58.77,28.93,29.85,2.489,0.454,2.04,0,0,0
3.7,0.38,425.1,23.1,16,22.53,6.14,16.38,1.895,0.136,1.76,1.94,31.07,65.55
3,0.28,0,24.6,15,14.99,3.03,11.97,0,0,0,2.44,31.22,68.38
2.3,0.13,412.14,29.3,12,4.8,0.87,3.93,0,0,0,2.35,23.17,86.82
2.6,0.35,0,24.6,16,18.81,4.37,14.44,2.009,0.13,1.88,2.15,31.31,68.37
3.2,0.7,0,18.1,16,36.18,14.77,21.41,0,0,0,1.13,32.31,65.67
4.1,1.33,0,0,9,57.5,33.03,24.47,2.528,0.561,1.97,0,0,0
3.4,0.62,0,18,16,29.91,9.58,20.33,2.044,0.182,1.86,0.94,31.67,68.2
3,0.31,0,22.1,12,16.22,3.3,12.92,0,0,0,2.28,29.62,72.05
2.9,0.59,0,18.1,14,30.28,10.09,20.19,2.017,0.187,1.83,1.11,31.09,65.13
3.8,1.38,0,0,8,61.17,37.03,24.14,2.386,0.417,1.97,0,0,0
3.5,0.38,430.89,21.3,13,22.54,6.32,16.22,1.901,0.147,1.75,1.72,30.5,66.49
2.3,0.11,416.22,27.8,10,4.28,0.86,3.4,0,0,0,2.3,23.93,88.04
3,0.75,0,15.7,14,36.61,14.3,22.31,0,0,0,1.07,31.71,67.65
2.6,0.38,0,23.4,12,20.15,5.2,14.95,1.999,0.143,1.86,1.98,30.6,69.98
1.7,0.12,414.66,31.2,9,4.43,0.77,3.63,0,0,0,0,21.63,91.03
3.8,1.55,0,0,10,69.46,40.38,29.08,2.563,0.497,2.07,0,0,0
3.7,0.51,442.75,21.1,15,30.72,9.74,20.97,2.031,0.195,1.84,1.51,28.37,77.53
2.8,0.5,0,23.1,12,26.21,6.67,19.54,2.123,0.198,1.93,1.63,28.6,79.87
