SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2,0.4,28.7,22,17,3.14,13.73,0,0,0,1.22,22.23,78.27
2.4,0.5,21.2,27,23,3.85,19.14,2.11,0.277,1.832,1.29,23.58,74.63
2.5,0.38,28.6,34,17,3.05,13.92,0,0,0,1.32,23.09,80.51
2.3,0.34,41.5,31,14,2.01,11.57,0,0,0,1.42,24.52,76.02
2.1,0.37,39.1,23,13,2.04,11.24,0,0,0,1.5,23.88,80.59
2.1,0.46,31.3,25,19,2.31,16.86,2.082,0.254,1.828,1.57,25.14,69.02
1.9,0.25,31.1,19,10,1.82,7.98,0,0,0,1.74,26.82,81.42
2,0.34,24.5,16,13,1.81,11.33,1.926,0.128,1.798,1.75,28.28,71.58
2.1,0.22,29.4,19,8,1.96,6.34,0,0,0,1.41,27.26,80.46
2.1,0.2,24.7,10,7,2.01,4.79,0,0,0,1.4,27.38,84.68
1.9,0.28,21.3,11,10,1.62,8.35,1.893,0.078,1.815,1.67,28.07,76.45
1.8,0.24,27.2,15,9,1.61,7.64,0,0,0,1.39,26.18,88.42
2.3,0.18,24.6,13,7,2.2,5.08,0,0,0,1.4,27.98,82.45
2.1,0.27,21,15,11,1.6,9.06,1.861,0.059,1.803,1.73,28.58,73.07
1.9,0.22,27.2,18,9,1.64,7.58,0,0,0,1.61,26.77,85.15
2.2,0.31,23.4,14,13,1.59,10.96,1.847,0.067,1.781,1.75,28.27,72.18
1.9,0.25,30.4,18,10,1.36,8.57,0,0,0,1.6,26.58,85.18
2.3,0.22,29.4,12,8,1.87,6.38,0,0,0,1.45,27.73,81.54
2.3,0.21,29.8,19,10,2.03,8.09,0,0,0,1.48,27.91,75.88
1.8,0.25,34.6,22,10,1.08,9.13,0,0,0,1.76,27.1,79.15
2.2,0.31,22,20,15,1.94,12.57,1.91,0.172,1.738,1.76,29.59,67.81
2.6,0.31,36.3,33,12,1.58,10.85,0,0,0,1.43,23.92,74.89
2.1,0.37,36.5,28,12,1.43,10.89,0,0,0,1.5,22.95,81.45
2.4,0.43,26.7,29,17,1.89,15.21,2.025,0.265,1.761,1.56,25.52,68.59
1.9,0.44,26,29,19,2.41,16.69,1.901,0.239,1.662,1.59,22.03,69.39
2.3,0.35,36.1,38,15,1.93,13,0,0,0,1.48,20.39,73.22
2,0.38,37.2,27,14,1.62,12.09,0,0,0,1.51,19.98,77.84
2,0.45,24.2,21,15,2.06,12.45,0,0,0,1.28,16.91,84.91
2.5,0.46,19.3,29,25,5.11,20.31,1.888,0.222,1.665,1.51,17.79,76.26
1.9,0.43,24.3,38,17,2.68,14.78,0,0,0,1.43,16.45,80.93
1.9,0.42,21.2,35,19,3.16,16.03,0,0,0,1.39,17.17,81
2.3,0.53,15.9,27,27,5.22,21.68,1.999,0.213,1.786,1.46,18.43,77.54
2.2,0.45,21.9,23,18,3.14,14.82,0,0,0,1.16,17.32,83.57
2,0.43,24.3,29,16,1.99,13.54,0,0,0,1.22,17.91,84.05
2.5,0.53,19.7,31,25,4.87,20.45,2.003,0.188,1.816,1.55,19.61,73.85
1.9,0.4,24.7,40,18,2.62,15.41,0,0,0,1.51,18.37,77.74
2,0.38,26.1,25,13,1.66,11.43,0,0,0,1.27,23.02,84.77
2.2,0.47,21.3,25,22,3.44,18.89,1.964,0.173,1.791,1.53,24.57,75.63
2.1,0.36,26.1,37,17,2.74,14,0,0,0,1.5,23.25,80.78
2,0.33,31,23,12,1.51,10.41,0,0,0,1.49,25.05,77
2.3,0.31,33.8,29,12,2.11,10,0,0,0,1.41,26.01,78.22
