,SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
0,4.4,0.47,32.2,31.0,24.0,3.46,20.84,2.309,0.231,2.0780000000000003,1.91,24.86,77.11
1,6.4,0.52,30.2,32.0,32.0,5.64,26.3,2.186,0.22699999999999998,1.959,1.72,26.58,71.93
2,3.2,0.45,30.5,46.0,20.0,2.36,18.05,0.0,0.0,0.0,2.08,24.75,76.33
3,5.2,0.47,32.5,38.0,24.0,3.18,20.64,2.374,0.225,2.15,1.66,24.97,79.97
4,4.5,0.72,29.9,32.0,29.0,5.43,23.82,2.29,0.287,2.004,1.03,26.18,73.78
5,3.7,0.48,35.3,30.0,21.0,2.2,18.95,2.202,0.179,2.023,2.08,24.58,79.22
6,4.8,0.63,30.4,34.0,31.0,5.94,25.24,2.233,0.228,2.005,1.78,25.64,72.95
7,2.9,0.56,33.1,35.0,26.0,2.96,23.17,2.287,0.252,2.035,1.55,25.85,70.83
8,3.0,0.45,31.2,40.0,22.0,3.81,17.81,2.188,0.213,1.975,1.89,24.49,77.84
9,1.8,0.35,33.1,24.0,10.0,1.54,8.22,0.0,0.0,0.0,0.96,25.25,76.11
10,5.0,0.4,41.0,38.0,18.0,1.9,16.16,2.201,0.10300000000000001,2.0980000000000003,2.11,25.53,76.27
11,3.7,0.51,34.6,35.0,21.0,3.36,17.43,2.197,0.171,2.0269999999999997,2.16,24.77,77.4
12,4.5,0.44,47.1,28.0,20.0,1.61,18.52,2.235,0.201,2.0340000000000003,1.97,26.14,73.2
13,5.0,0.44,43.7,35.0,18.0,1.76,16.17,2.353,0.17600000000000002,2.177,1.52,26.17,78.2
14,4.1,0.38,53.8,29.0,12.0,0.85,11.24,2.184,0.094,2.09,2.22,26.63,74.09
15,3.8,0.53,45.0,30.0,20.0,1.61,18.72,2.239,0.22399999999999998,2.015,1.73,27.35,66.75
16,6.7,0.47,43.7,29.0,25.0,3.49,21.17,2.155,0.18600000000000003,1.969,1.82,27.8,67.62
17,1.9,0.34,43.3,24.0,8.0,0.98,6.81,0.0,0.0,0.0,1.02,26.31,75.42
